exercise_name,filepath,exercise_type,body_part,equipment,instructions
Dumbbell One Arm Zottman Preacher Curl,female/Dumbbell-One-Arm-Zottman-Preacher-Curl-(female)_Upper-Arms.mp4,Strength,Upper Arms,Dumbbell,"Sit at preacher bench with arm on pad holding dumbbell | Curl weight up with palm facing up | At top, rotate wrist so palm faces down | Lower dumbbell slowly | Rotate wrist back to starting position"
Landmine Romanian Deadlift,male/Landmine-Romanian-Deadlift-(VERSION-2)_Hips_.mp4,Strength,Hips,Barbell,"Stand with feet hip-width, barbell anchored in landmine | Hold barbell with both hands in front of thighs | Hinge at hips, lowering bar while keeping back flat | Return to standing by driving hips forward"
45 Degree Bicycle Twisting Crunch,female/45-degree-Bycicle-Twisting-Crunch_Waist-FIX_.mp4,Strength,Waist,Body weight,"Lie on your back with knees bent and hands behind head | Lift shoulders off the ground and bring knees to a 45-degree angle | Twist torso, bringing right elbow toward left knee while extending right leg | Switch sides, bringing left elbow toward right knee | Continue alternating sides in a controlled motion"
Barbell Glute Bridge,male/Barbell-Glute-Bridge-(hands-on-bar)_Hips_.mp4,Strength,Hips,Barbell,Lie on your back with knees bent and feet flat | Place barbell across your hips | Drive through your heels to lift hips upward | Squeeze glutes at the top | Lower hips back down
Lever Back Extension,female/Lever-Back-Extension-(version-2)-(female)_Back_.mp4,Strength,Back,Leverage machine,Adjust the machine to fit your body | Position yourself face down with hips on the pad | Cross arms over chest or hold handles | Extend your back upward | Lower slowly to starting position
Barbell Rear Lunge,male/Barbell-Rear-Lunge-(VERSION-2)_Thighs_.mp4,Strength,Thighs,Barbell,Stand upright with barbell on your upper back | Step one foot backward and lower your body until both knees are bent at 90 degrees | Push through your front heel to return to starting position | Repeat on the other leg
Dumbbell Bent Over Row,male/Dumbbell-Bent-over-Row_Back-FIX_ 1.mp4,Strength,Back,Dumbbell,"Stand with feet shoulder-width apart holding dumbbells | Bend knees slightly and hinge forward at the hips | Keep back flat and arms extended downward | Pull dumbbells toward your torso, squeezing shoulder blades | Lower dumbbells back to starting position"
Lever Squat,male/Lever-Squat-(plate-loaded)-(male)_Thighs_.mp4,Strength,Thighs,Leverage machine,Stand on the platform and position shoulders under pads | Grip handles and keep feet shoulder-width apart | Lower your body by bending knees and hips | Push through your heels to return to starting position
Barbell Decline Pullover,female/Barbell-Decline-Pullover-(female)_Chest_.mp4,Strength,Chest,Barbell,Lie on a decline bench holding a barbell above your chest | Keep arms slightly bent and lower the barbell back over your head | Stretch until you feel a pull in your chest | Bring the barbell back to the starting position
Barbell Decline Bench Press,male/Barbell-Decline-Bench-Press_Chest-FIX_.mp4,Strength,Chest,Barbell,Lie on a decline bench and grip the barbell | Unrack the bar and lower it to your chest | Press the bar back up until arms are fully extended | Repeat for desired reps
Dumbbell Over Bench Wrist Curl,male/Dumbbell-Over-Bench-Wrist-Curl_Forearms.mp4,Strength,Forearms,Dumbbell,"Sit on a bench and rest your forearm on it, palm facing up | Hold a dumbbell in your hand, wrist hanging over the edge | Curl the dumbbell upward by flexing your wrist | Lower the dumbbell back down slowly | Repeat for desired reps"
Dumbbell Supported Squat,female/Dumbbell-Supported-Squat-(female)_Thighs_.mp4,Strength,Thighs,Dumbbell,Stand with feet shoulder-width apart holding dumbbells at your sides | Keep your chest up and back straight | Lower your body by bending your knees and hips into a squat | Push through your heels to return to standing position
Cable Seated High Row,female/Cable-Seated-High-Row-(V-bar)-(female)_Back.mp4,Strength,Back,Cable,"Sit at the cable row machine with feet on the platform | Grasp the handles with arms extended | Pull the handles toward your upper chest, squeezing shoulder blades together | Slowly return to starting position"
Barbell Standing Back Wrist Curl,female/Barbell-Standing-Back-Wrist-Curl-(female)_Forearms.mp4,Strength,Forearms,Barbell,"Stand upright holding a barbell behind your back | Let the barbell rest against your legs, palms facing back | Curl your wrists upward, lifting the barbell with your hands | Lower the barbell back down slowly | Repeat"
Barbell Wrist Curl,male/Barbell-Wrist-Curl-(VERSION-2)_Forearms-FIX2_.mp4,Strength,Forearms,Barbell,Sit on a bench and hold a barbell with palms up | Rest your forearms on your thighs with wrists over the edge | Curl the barbell upward by flexing your wrists | Lower the barbell back down slowly | Repeat
Lever Deadlift,female/Lever-Deadlift-(plate-loaded)-(female)_Hips_.mp4,Strength,Hips,Leverage machine,"Stand with feet shoulder-width apart on the platform | Grip the handles of the leverage machine | Keep your back straight and lift by extending your hips and knees | Stand upright, then lower the weight back down with control"
Dumbbell Glute Bridge,female/Dumbbell-Glute-Bridge-(female)_Hips_.mp4,Strength,Hips,Dumbbell,Lie on your back with knees bent and feet flat on the floor | Hold a dumbbell on your hips | Press through your heels to lift your hips toward the ceiling | Squeeze your glutes at the top | Lower your hips back down to the floor
Trap Bar Deadlift,female/Trap-Bar-Deadlift-(female)_Thighs_.mp4,Strength,Hips,Trap bar,"Stand inside the trap bar and grip handles | Keep back straight and chest up | Push through heels to lift the bar | Stand up fully, then lower bar back down"
Ez Bar Seated Close Grip Concentration Curl,female/EZ-Bar-Seated-Close-Grip-Concentration-Curl-(femal.mp4,Strength,Upper Arms,EZ Barbell,"Sit on a bench with legs apart | Hold EZ bar with close grip, arm resting against inner thigh | Curl the bar upward, squeezing biceps | Lower slowly to starting position | Repeat"
Cable Twist,female/Cable-twist-(up-down)-(female)_Waist_.mp4,Strength,Waist,Cable,"Stand sideways to cable machine | Grasp handle with both hands at chest height | Rotate your torso away from the machine | Return slowly to starting position | Repeat for reps, then switch sides"
Barbell Bench Press,male/Barbell-Bench-Press_Chest-FIX2_.mp4,Strength,Chest,Barbell,Lie flat on a bench holding a barbell above chest | Lower the barbell to your chest | Press the barbell back up to starting position | Repeat for desired reps
Dumbbell Standing Triceps Extension,female/Dumbbell-Standing-Triceps-Extension-(female)_Upper-Arms.mp4,Strength,Upper Arms,Dumbbell,Stand upright holding a dumbbell with both hands overhead | Keep elbows close to your head | Lower the dumbbell behind your head by bending your elbows | Extend your arms to raise the dumbbell back overhead | Repeat
Dumbbell Lying On Floor Chest Press,female/Dumbbell-Lying-on-Floor-Chest-Press-(female)_Chest.mp4,Strength,Chest,Dumbbell,Lie flat on your back on the floor holding dumbbells | Bend your knees and keep feet flat | Press the dumbbells up above your chest | Lower them slowly until your upper arms touch the floor | Press back up to starting position
Dumbbell Behind Back Finger Curl,female/Dumbbell-Behind-Back-Finger-Curl-(female)_Forearms.mp4,Strength,Forearms,Dumbbell,Stand upright holding a dumbbell behind your back | Let the dumbbell rest in your fingers with palms facing backward | Curl the dumbbell up by closing your fingers | Lower the dumbbell back to starting position | Repeat
Barbell Seated Overhead Triceps Extension,male/Barbell-Seated-Overhead-Triceps-Extension_Upper-Ar.mp4,Strength,Upper Arms,Barbell,"Sit on a bench with back support | Hold barbell overhead with both hands, arms extended | Lower barbell behind your head by bending elbows | Extend arms to return to starting position"
Dumbbell Decline Bench Press,male/Dumbbell-Decline-Bench-Press_Chest-FIX_.mp4,Strength,Chest,Dumbbell,Lie on a decline bench holding dumbbells at chest level | Press the dumbbells upward until arms are fully extended | Lower the dumbbells back to chest level | Repeat for desired reps
Dumbbell Iron Cross,female/Dumbbell-Iron-Cross-(female)_Shoulders.mp4,Strength,Shoulders,Dumbbell,"Stand with feet shoulder-width apart holding dumbbells at your sides | Raise arms out to the sides until parallel to the floor | Hold briefly, keeping arms straight | Lower dumbbells back to your sides"
Lever Leg Extension,male/Lever-Leg-Extension-(plate-loaded)_Thighs_.mp4,Strength,Thighs,Leverage machine,Sit on the machine and adjust the pad above your ankles | Select the desired weight | Extend your legs fully by straightening your knees | Pause briefly at the top | Lower the weight back to starting position
Band Lying Reverse Grip Pressdown,female/Band-Lying-Reverse-Grip-Pressdown-(Skull-Crusher)-.mp4,Strength,Upper Arms,Band,"Lie on your back holding resistance band handles | Anchor band above your head | Grip handles with palms facing up (reverse grip) | Press handles down towards your thighs, extending your arms | Slowly return to starting position"
Cable Standing Reverse Grip Curl,male/Cable-Standing-Reverse-Grip-Curl-(Straight-bar)_Fo.mp4,Strength,Forearms,Cable,"Attach a straight bar to the low pulley | Stand facing the machine and grasp the bar with an overhand (reverse) grip | Keep elbows close to your sides and curl the bar up | Squeeze at the top, then lower slowly | Repeat"
Dumbbell Lying Hamstring Curl,female/Dumbbell-Lying-Hamstring-Curl-(female)_Thighs_.mp4,Strength,Thighs,Dumbbell,"Lie face down on a bench, holding a dumbbell between your feet | Keep your legs straight and grip the bench for support | Curl your legs up, bringing the dumbbell toward your glutes | Lower your legs back down slowly | Repeat"
Band 45 Degree Biceps Curl,female/Band-45-degrees-Biceps-Curl-(female)_Upper-Arms_.mp4,Strength,Upper Arms,Band,Stand on the band with feet shoulder-width apart | Hold band handles with palms facing up at a 45-degree angle | Keep elbows close to your sides | Curl the handles up toward your shoulders | Lower slowly to starting position
Lever Standing Calf Raise,male/Lever-Standing-Calf-Raise_Calf-FIX_.mp4,Strength,Calves,Leverage machine,"Position shoulders under pads on the machine | Place balls of feet on platform with heels hanging off | Push through toes to raise heels as high as possible | Pause at the top, then lower heels back down | Repeat"
Suspender One Arm Biceps Curl,male/Suspender-One-Arm-Biceps-Curl-(male)_Upper-arms_.mp4,Strength,Upper Arms,Suspension,"Attach suspension trainer overhead | Stand facing anchor and hold handle with one hand | Lean back, arm extended, body straight | Curl handle toward shoulder, keeping elbow steady | Lower back to start and repeat"
Dumbbell Incline Fly,male/Dumbbell-Incline-Fly_Chest-FIX2_.mp4,Strength,Chest,Dumbbell,Set an incline bench and lie back holding dumbbells above chest | Keep a slight bend in elbows and lower arms out to sides | Stop when elbows are level with chest | Bring dumbbells back together above chest | Repeat
Band Cross Body One Arm Chest Press,female/Band-Cross-Body-One-Arm-Chest-Press-(female)_Chest.mp4,Strength,Chest,Band,"Anchor band at chest height | Stand sideways to anchor, hold band in one hand | Step forward, press band across body | Return slowly to start position"
Dumbbell Seated Front Raise,female/Dumbbell-Seated-Front-Raise-(female)_Shoulders.mp4,Strength,Shoulders,Dumbbell,Sit on a bench with back straight and feet flat | Hold dumbbells at your sides with palms facing thighs | Raise dumbbells in front of you to shoulder height | Lower them back down slowly | Repeat
Dumbbell Incline Triceps Extension,male/Dumbbell-Incline-Triceps-Extension_Upper-Arms-FIX_.mp4,Strength,Upper Arms,Dumbbell,Lie on an incline bench holding dumbbells above your chest | Keep elbows stationary and lower dumbbells behind your head | Extend arms to return to starting position | Repeat
Kettlebell Front Raise,female/Kettlebell-Front-Raise-(female)_Shoulders_.mp4,Strength,Shoulders,Kettlebell,Stand upright holding a kettlebell with both hands | Keep arms straight and core engaged | Raise the kettlebell in front of you to shoulder height | Lower it back down slowly | Repeat
Dumbbell Overhead Squat,female/Dumbbell-Overhead-Squat-(female)_Thighs_.mp4,Strength,Full body,Dumbbell,"Stand with feet shoulder-width apart holding dumbbells overhead | Keep arms extended and core tight | Lower into a squat, keeping dumbbells overhead | Push through heels to stand back up | Repeat"
Band Overhead Single Arm Triceps Extension,female/Band-Overhead-Single-Arm-Triceps-Extension-(female.mp4,Strength,Upper Arms,Band,"Stand on band and hold handle overhead with one hand | Keep elbow close to head and arm straight up | Extend arm fully upward, straightening elbow | Lower hand back behind head with control | Repeat for reps"
Lever Military Press,female/Lever-Military-Press-(plate-loaded)-(female)_shoulder.mp4,Strength,Shoulders,Leverage machine,Sit on the machine and grip the handles | Keep your back straight and feet flat | Press the handles upward until arms are extended | Lower the handles back to starting position
Smith Sumo Deadlift,male/Smith-Sumo-Deadlift_Hips_.mp4,Strength,Hips,Smith machine,Set bar on Smith machine to mid-shin height | Stand with feet wide and toes pointed out | Grip bar with both hands inside knees | Lift bar by driving through heels and extending hips | Lower bar back to starting position
Dumbbell Fly,male/Dumbbell-Fly_Chest-FIX2_.mp4,Strength,Chest,Dumbbell,Lie on a bench holding dumbbells above chest | Keep elbows slightly bent | Lower arms out to sides until chest stretches | Bring dumbbells back together above chest
Lever Hip Thrust,male/Lever-Hip-Thrust-(plate-loaded)-(male)_Hips_.mp4,Strength,Hips,Leverage machine,"Sit on the machine with your upper back against the pad | Place your feet flat on the platform | Thrust your hips upward, lifting the weight | Squeeze your glutes at the top | Lower your hips back down slowly"
Lever High Row,female/Lever-High-Row-(plate-loaded)-(female)_Back_.mp4,Strength,Back,Leverage machine,Sit at the machine and grasp the handles | Keep your chest against the pad | Pull the handles towards your upper chest | Squeeze your shoulder blades together | Slowly return to starting position
Dumbbell Step Up,male/Dumbbell-Step-up-(VERSION-2)-(male)_Thighs_.mp4,Strength,Thighs,Dumbbell,"Hold a dumbbell in each hand | Stand facing a bench or step | Step up with one foot, pressing through your heel | Bring the other foot up to stand on the bench | Step down and repeat with the other leg"
Cable Standing One Arm Triceps Extension,female/Cable-Standing-One-Arm-Triceps-Extension-(female)_Upper-Arms.mp4,Strength,Upper Arms,Cable,"Stand facing cable machine and grab handle with one hand | Step away to create tension | Extend your arm downward, keeping elbow close to head | Slowly return to starting position | Repeat for reps"
Barbell Lunge,male/Barbell-Lunge_Thighs-FIX_.mp4,Strength,Thighs,Barbell,Stand upright with barbell on your shoulders | Step forward with one leg and lower your body | Lower until both knees are bent at 90 degrees | Push back up to starting position | Repeat with the other leg
45 Degree Twisting Hyperextension,male/45-degree-Twisting-Hyperextension-(male)_Hips_.mp4,Strength,Back,Body weight,Position yourself on a 45-degree hyperextension bench | Cross arms over chest or behind head | Lower your upper body towards the floor | Twist your torso to one side as you raise your body up | Return to start and alternate sides
Dumbbell Lying Extension,female/Dumbbell-Lying-Extension-(across-face)-(female)_Up.mp4,Strength,Upper Arms,Dumbbell,"Lie on a bench holding dumbbells above chest | Keep arms straight, palms facing each other | Bend elbows to lower dumbbells toward your head | Extend arms back to starting position"
Barbell Reverse Curl,female/Barbell-Reverse-Curl-(female)_Forearms.mp4,Strength,Forearms,Barbell,Stand holding a barbell with an overhand grip | Keep elbows close to your sides | Curl the barbell upward toward your shoulders | Lower the barbell back down slowly | Repeat
Dumbbell Bench Seated Press,female/Dumbbell-Bench-Seated-Press-(female)_Shoulders_.mp4,Strength,Shoulders,Dumbbell,Sit on a bench with back support holding dumbbells at shoulder height | Keep feet flat on the floor | Press dumbbells upward until arms are fully extended | Lower dumbbells back to shoulder height | Repeat
Weighted Dumbbell Table Top Bridge,male/Weighted-Dumbbell-Table-Top-Bridge-(male)_Hips_.mp4,Strength,Hips,Dumbbell,"Sit on the floor with knees bent and feet flat, holding a dumbbell on your hips | Place hands behind you, fingers pointing forward | Press through your heels and lift your hips up, forming a tabletop position | Squeeze glutes at the top, then lower hips back down"
Lever Horizontal One Leg Press,male/Lever-Horizontal-One-leg-Press_Hips.mp4,Strength,Thighs,Leverage machine,"Sit on the machine and place one foot on the platform | Adjust the seat and backrest for comfort | Push the platform away by extending your leg | Slowly return to starting position | Repeat for reps, then switch legs"
Sled 45 Degree One Leg Press,female/Sled-45-degrees-One-Leg-Press-(female)_Hips_.mp4,Strength,Thighs,Sled machine,"Sit on the sled machine and place one foot on the platform | Keep the other leg off the platform | Push the platform upward by extending your leg | Slowly lower the platform back down | Repeat for reps, then switch legs"
Cambered Bar Lying Row,female/Cambered-Bar-Lying-Row-(female)_Back_.mp4,Strength,Back,Barbell,Lie face down on a bench with a cambered bar below | Grip the bar with both hands | Pull the bar up towards your chest | Squeeze your back muscles at the top | Lower the bar back down with control
Lever Seated Reverse Fly,female/Lever-Seated-Reverse-Fly-(female)_Shoulders-FIX2_.mp4,Strength,Shoulders,Leverage machine,Sit on the machine with chest against the pad | Grasp the handles with arms extended | Pull the handles outward and backward | Squeeze shoulder blades together | Return slowly to starting position
Dumbbell Single Leg Glute Bridge,female/Dumbbell-Single-Leg-Glute-Bridge-(female)_Hips_.mp4,Strength,Hips,Dumbbell,"Lie on your back with knees bent and hold a dumbbell on your hip | Lift one leg off the ground, keeping it straight | Press through the heel of the other foot to lift your hips up | Squeeze your glutes at the top | Lower back down and repeat"
Dumbbell Rear Lunge,male/Dumbbell-Rear-Lunge_Thighs-FIX_.mp4,Strength,Thighs,Dumbbell,Stand upright holding dumbbells at your sides | Step one foot back and lower your body until both knees are bent at 90 degrees | Push through your front heel to return to standing | Repeat on the other leg
Lever Pendulum Squat,female/Lever-Pendulum-Squat-(plate-loaded)-(female)_Thigh.mp4,Strength,Thighs,Leverage machine,Adjust the leverage machine to your height | Stand with feet shoulder-width apart on the platform | Grip the handles and position shoulders under pads | Lower your body by bending knees and hips | Push through your heels to return to starting position
Lever Chest Press,female/Lever-Chest-Press-(female)_Chest_.mp4,Strength,Chest,Leverage machine,Sit on the machine and grip the handles | Press the handles forward until your arms are extended | Slowly return to the starting position | Repeat for desired reps
Lever Standing Rear Kick,female/Lever-Standing-Rear-Kick-(female)_Hips.mp4,Strength,Hips,Leverage machine,"Stand facing the lever machine | Place one foot on the lever platform | Push the lever back by extending your hip | Return slowly to starting position | Repeat for reps, then switch legs"
Barbell Stiff Legged Deadlift,female/Barbell-Stiff-Legged-Deadlift-(female)_Hips_.mp4,Strength,Hips,Barbell,"Stand with feet hip-width apart holding barbell | Keep legs mostly straight, slight knee bend | Hinge at hips to lower barbell down front of legs | Lower until you feel a stretch in hamstrings | Return to standing position"
Smith Front Squat,female/Smith-Front-Squat-(Clean-Grip)-(female)_Thighs_.mp4,Strength,Thighs,Smith machine,Set bar on Smith machine at shoulder height | Position bar across front of shoulders and grip bar | Stand with feet shoulder-width apart | Lower body by bending knees and hips | Push back up to starting position
Kettlebell Seesaw Press,female/Kettlebell-Seesaw-Press-(female)_Shoulders_.mp4,Strength,Shoulders,Kettlebell,Stand with feet shoulder-width apart holding a kettlebell in each hand at shoulder height | Press one kettlebell overhead while keeping the other at shoulder level | Lower the pressed kettlebell as you press the other overhead | Alternate presses in a seesaw motion | Repeat for desired reps
Dumbbell Lying Femoral,female/Dumbbell-Lying-Femoral-(female)_Thighs.mp4,Strength,Thighs,Dumbbell,Lie face down on a bench holding a dumbbell between your feet | Keep your legs straight and core tight | Bend your knees to lift the dumbbell toward your glutes | Lower the weight back down slowly | Repeat
Dumbbell Standing Calf Raise,male/Dumbbell-Standing-Calf-Raise_Calves-FIX_.mp4,Strength,Calves,Dumbbell,"Stand upright holding dumbbells at your sides | Place the balls of your feet on a raised surface | Raise your heels as high as possible by pushing through the balls of your feet | Pause at the top, then lower your heels back down"
Dumbbell Kick,female/Dumbbell-Kickback-(female)_Upper-arms.mp4,Strength,Upper Arms,Dumbbell,"Stand holding a dumbbell in each hand | Bend elbows to 90 degrees, upper arms at sides | Extend one arm back, straightening elbow | Squeeze triceps, then return to start | Repeat on the other arm"
Dumbbell Seated Neutral Wrist Curl,female/Dumbbell-Seated-Neutral-Wrist-Curl-(female)_Forearms.mp4,Strength,Forearms,Dumbbell,"Sit on a bench holding dumbbells with palms facing each other | Rest forearms on thighs with wrists over the edge | Curl wrists upward, keeping forearms still | Lower dumbbells back to starting position | Repeat"
Dumbbell Standing Overhead Press,female/Dumbbell-Standing-Overhead-Press-(female)_Shoulders_.mp4,Strength,Shoulders,Dumbbell,Stand with feet shoulder-width apart holding dumbbells at shoulder height | Brace your core and keep your back straight | Press the dumbbells overhead until arms are fully extended | Lower the dumbbells back to shoulder height
Incline Leg Hip Raise,female/Incline-Leg-Hip-Raise-(leg-straight)-(female)_waist.mp4,Strength,Waist,Body weight,"Lie on an incline bench with your head higher than your feet | Grip the bench for support | Raise your legs upward, lifting your hips off the bench | Slowly lower your legs and hips back down | Repeat"
Ez Barbell Standing Wide Grip Biceps Curl,female/EZ-Barbell-Standing-Wide-Grip-Biceps-Curl-(female).mp4,Strength,Upper Arms,EZ Barbell,Stand upright holding EZ barbell with wide grip | Keep elbows close to sides | Curl barbell up toward shoulders | Squeeze biceps at top | Lower barbell back down slowly
Sled Calf Press On Leg Press,male/Sled-Calf-Press-On-Leg-Press_Calves-FIX_.mp4,Strength,Calves,Sled machine,Sit on the leg press machine with feet on platform | Place toes and balls of feet on lower edge of platform | Extend legs without locking knees | Push through toes to lift weight by flexing ankles | Lower heels back down and repeat
Dumbbell Standing Scapular External Rotation,female/Dumbbell-Standing-Scapular-External-Rotation-(front-POV)-(female)_Back_.mp4,Strength,Shoulders,Dumbbell,"Stand upright holding a dumbbell in each hand at your sides | Bend elbows to 90 degrees, keeping upper arms close to your body | Rotate forearms outward, squeezing shoulder blades together | Slowly return to starting position | Repeat"
Dumbbell Pullover,female/Dumbbell-Pullover-(VERSION-2)-(female)_Back_.mp4,Strength,Chest,Dumbbell,Lie on a bench holding a dumbbell above your chest | Keep arms slightly bent | Lower the dumbbell back over your head | Raise it back to the starting position
Lever Seated Calf Press,male/Lever-Seated-Calf-Press-(VERSION-2)-(male)_Calves_.mp4,Strength,Calves,Leverage machine,Sit on the machine with feet on platform | Adjust pads to rest on your thighs | Push through the balls of your feet to extend your ankles | Slowly lower back to starting position
Dumbbell Hammer Grip Incline Bench Two Arm Row,female/Dumbbell-Hammer-Grip-Incline-Bench-Two-Arm-Row-(female)_Back.mp4,Strength,Back,Dumbbell,"Set an incline bench to 30-45 degrees and lie face down holding dumbbells with a neutral (hammer) grip | Let arms hang straight down | Pull both dumbbells up toward your sides, keeping elbows close to your body | Squeeze your back at the top | Lower the weights slowly to the starting position"
Potty Squat With Support,male/Potty-Squat-with-Support_Hips_.mp4,Strength,Thighs,Body weight,"Stand with feet shoulder-width apart, holding onto a support | Lower your hips back and down as if sitting on a potty | Keep your chest up and knees behind toes | Push through your heels to return to standing"
Barbell Step Up,male/Barbell-Step-up_Hips-FIX_.mp4,Strength,Thighs,Barbell,Place barbell across upper back | Stand facing a bench or box | Step up onto bench with one foot | Press through heel to lift body up | Step down and repeat with other leg
Dumbbell Standing Palms In Press,female/Dumbbell-Standing-Palms-In-Press-(female)_Shoulder.mp4,Strength,Shoulders,Dumbbell,"Stand upright holding dumbbells at shoulder height, palms facing in | Keep core tight and feet shoulder-width apart | Press dumbbells overhead until arms are fully extended | Lower dumbbells back to shoulder height | Repeat"
Lever Seated Crunch,female/Lever-Seated-Crunch-(hands-pad)-(female)_Waist_.mp4,Strength,Waist,Leverage machine,"Sit on the machine and place feet under pads | Grip handles and keep back against the pad | Contract your abs to bring your torso forward | Pause, then slowly return to starting position"
Cable Low Fly,male/Cable-Low-Fly_Chest-FIX2_.mp4,Strength,Chest,Cable,"Set cables to the lowest position | Stand between cables, grab handles with palms facing forward | Step forward, slightly bend elbows | Bring handles upward and together in front of chest | Slowly return to starting position"
Barbell Seated Twist,male/Barbell-Seated-Twist-(on-stability-ball)-(male)_Wa.mp4,Strength,Waist,Barbell,"Sit on a bench holding a barbell across your shoulders | Keep your back straight and feet flat on the floor | Rotate your torso to one side | Return to center, then twist to the other side | Repeat for desired reps"
Dumbbell One Arm Front Raise,female/Dumbbell-One-Arm-Front-Raise-(female)_Shoulders_.mp4,Strength,Shoulders,Dumbbell,Stand upright holding a dumbbell in one hand | Keep arm straight and raise dumbbell in front to shoulder height | Pause briefly at the top | Lower the dumbbell back down slowly | Repeat for desired reps
Suspender Pike,male/Suspender-Pike-(male)_Waist_.mp4,Strength,Full body,Suspension,"Place feet in suspension straps and hands on floor | Start in a plank position | Lift hips up towards ceiling, forming a pike | Lower hips back to plank position | Repeat"
Dumbbell Split Squat,male/Dumbbell-Split-Squat_Thighs_.mp4,Strength,Thighs,Dumbbell,"Stand with feet staggered and hold dumbbells at your sides | Lower your back knee toward the floor, keeping front knee over ankle | Push through front heel to return to starting position | Repeat for reps, then switch legs"
Weighted Sissy Squat,female/Weighted-Sissy-Squat-(female)_Thighs.mp4,Strength,Thighs,Body weight,"Stand upright with feet shoulder-width apart | Hold weight against your chest | Lean back and bend knees, lowering your body while keeping hips forward | Lower until thighs are almost parallel to the floor | Push through your toes to return to starting position"
Cable Kneeling Glute Kick,male/Cable-Kneeling-Glute-Kickback-(male)_Hips_.mp4,Strength,Hips,Cable,Attach ankle strap to low cable | Kneel on one knee facing the machine | Kick working leg back and up against resistance | Squeeze glute at top | Return leg to starting position
Dumbbell Cross Body Hammer Curl,male/Dumbbell-Cross-Body-Hammer-Curl-(Version-2)_Upper-Arms-FIX.mp4,Strength,Upper Arms,Dumbbell,Stand with a dumbbell in each hand | Keep elbows close to your torso | Curl one dumbbell across your body toward the opposite shoulder | Lower back to starting position | Repeat with the other arm
Dumbbell Decline Shrug,female/Dumbbell-Decline-Shrug-(female)_Back_.mp4,Strength,Shoulders,Dumbbell,"Lie face up on a decline bench holding dumbbells at your sides | Keep arms straight and let shoulders relax downward | Shrug your shoulders up toward your ears | Hold briefly, then lower shoulders back down"
